#,cveID,assigner,publishedDate,url,baseScore,exploitabilityScore,baseSeverity,attackVector,privilegesRequired,attackComplexity,userInteraction,confidentialityImpact,integrityImpact,availabilityImpact
0,CVE-2023-0001,psirt@paloaltonetworks.com,2023-02-08T18:15Z,https://security.paloaltonetworks.com/CVE-2023-0001,6.7,0.8,MEDIUM,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH
1,CVE-2023-0002,psirt@paloaltonetworks.com,2023-02-08T18:15Z,https://security.paloaltonetworks.com/CVE-2023-0002,7.8,1.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH
2,CVE-2023-0003,psirt@paloaltonetworks.com,2023-02-08T18:15Z,https://security.paloaltonetworks.com/CVE-2023-0003,6.5,2.8,MEDIUM,NETWORK,LOW,LOW,NONE,HIGH,NONE,NONE
3,CVE-2023-0004,psirt@paloaltonetworks.com,2023-04-12T17:15Z,https://security.paloaltonetworks.com/CVE-2023-0004,6.5,1.2,MEDIUM,NETWORK,HIGH,LOW,NONE,NONE,HIGH,HIGH
4,CVE-2023-0005,psirt@paloaltonetworks.com,2023-04-12T17:15Z,https://security.paloaltonetworks.com/CVE-2023-0005,4.9,1.2,MEDIUM,NETWORK,HIGH,LOW,NONE,HIGH,NONE,NONE
5,CVE-2023-0006,psirt@paloaltonetworks.com,2023-04-12T17:15Z,https://security.paloaltonetworks.com/CVE-2023-0006,6.3,1.0,MEDIUM,LOCAL,LOW,HIGH,NONE,NONE,HIGH,HIGH
6,CVE-2023-0007,psirt@paloaltonetworks.com,2023-05-10T17:15Z,https://security.paloaltonetworks.com/CVE-2023-0007,4.8,1.7,MEDIUM,NETWORK,HIGH,LOW,REQUIRED,LOW,LOW,NONE
7,CVE-2023-0008,psirt@paloaltonetworks.com,2023-05-10T17:15Z,https://security.paloaltonetworks.com/CVE-2023-0008,4.4,0.7,MEDIUM,NETWORK,HIGH,HIGH,NONE,HIGH,NONE,NONE
8,CVE-2023-0009,psirt@paloaltonetworks.com,2023-06-14T17:15Z,https://security.paloaltonetworks.com/CVE-2023-0009,7.8,1.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH
9,CVE-2023-0010,psirt@paloaltonetworks.com,2023-06-14T17:15Z,https://security.paloaltonetworks.com/CVE-2023-0010,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
10,CVE-2023-0012,cna@sap.com,2023-01-10T03:15Z,https://launchpad.support.sap.com/#/notes/3276120,6.7,0.8,MEDIUM,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH
11,CVE-2023-0013,cna@sap.com,2023-01-10T03:15Z,https://www.sap.com/documents/2022/02/fa865ea4-167e-0010-bca6-c68f7e60039b.html,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
12,CVE-2023-0014,cna@sap.com,2023-01-10T04:15Z,https://launchpad.support.sap.com/#/notes/3089413,9.8,3.9,CRITICAL,NETWORK,NONE,LOW,NONE,HIGH,HIGH,HIGH
13,CVE-2023-0015,cna@sap.com,2023-01-10T04:15Z,https://launchpad.support.sap.com/#/notes/3251447,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
14,CVE-2023-0016,cna@sap.com,2023-01-10T04:15Z,https://launchpad.support.sap.com/#/notes/3275391,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
15,CVE-2023-0017,cna@sap.com,2023-01-10T04:15Z,https://launchpad.support.sap.com/#/notes/3268093,9.8,3.9,CRITICAL,NETWORK,NONE,LOW,NONE,HIGH,HIGH,HIGH
16,CVE-2023-0018,cna@sap.com,2023-01-10T04:15Z,https://launchpad.support.sap.com/#/notes/3266006,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
17,CVE-2023-0019,cna@sap.com,2023-02-14T04:15Z,https://launchpad.support.sap.com/#/notes/3281724,6.5,2.8,MEDIUM,NETWORK,LOW,LOW,NONE,HIGH,NONE,NONE
18,CVE-2023-0020,cna@sap.com,2023-02-14T04:15Z,https://launchpad.support.sap.com/#/notes/3263135,7.1,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,LOW,NONE
19,CVE-2023-0021,cna@sap.com,2023-03-14T05:15Z,https://launchpad.support.sap.com/#/notes/3274920,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
20,CVE-2023-0022,cna@sap.com,2023-01-10T04:15Z,https://launchpad.support.sap.com/#/notes/3262810,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
21,CVE-2023-0023,cna@sap.com,2023-01-10T04:15Z,https://www.sap.com/documents/2022/02/fa865ea4-167e-0010-bca6-c68f7e60039b.html,5.7,2.1,MEDIUM,NETWORK,LOW,LOW,REQUIRED,HIGH,NONE,NONE
22,CVE-2023-0024,cna@sap.com,2023-02-14T04:15Z,https://launchpad.support.sap.com/#/notes/3265846,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
23,CVE-2023-0025,cna@sap.com,2023-02-14T04:15Z,https://launchpad.support.sap.com/#/notes/3267442,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
24,CVE-2023-0026,sirt@juniper.net,2023-06-21T17:15Z,https://www.juniper.net/documentation/us/en/software/junos/bgp/topics/topic-map/bgp-error-messages.html,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,NONE,NONE,HIGH
25,CVE-2023-0027,PSIRT@rockwellautomation.com,2023-03-17T17:15Z,https://rockwellautomation.custhelp.com/app/answers/answer_view/a_id/1138766,4.3,2.8,MEDIUM,NETWORK,LOW,LOW,NONE,LOW,NONE,NONE
26,CVE-2023-0028,security@huntr.dev,2023-01-01T01:15Z,https://huntr.dev/bounties/bfd935f4-2d1d-4d3f-8b59-522abe7dd065,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
27,CVE-2023-0029,cna@vuldb.com,2023-01-01T14:15Z,https://www.youtube.com/watch?v=yh0pK7YlmI4,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,NONE,NONE,HIGH
28,CVE-2023-0030,secalert@redhat.com,2023-03-08T23:15Z,https://github.com/torvalds/linux/commit/729eba3355674f2d9524629b73683ba1d1cd3f10,7.8,1.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH
29,CVE-2023-0033,contact@wpscan.com,2023-01-30T21:15Z,https://wpscan.com/vulnerability/2d9ae43b-75a7-4fcc-bce3-d9e9d7a97ec0,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
30,CVE-2023-0034,contact@wpscan.com,2023-02-13T15:15Z,https://wpscan.com/vulnerability/ffbdb8a1-19c3-45e9-81b0-ad47a0791c4a,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
31,CVE-2023-0035,scy@openharmony.io,2023-01-09T03:15Z,https://gitee.com/openharmony/security/blob/master/en/security-disclosure/2023/2023-01.md,7.8,1.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH
32,CVE-2023-0036,scy@openharmony.io,2023-01-09T03:15Z,https://gitee.com/openharmony/security/blob/master/en/security-disclosure/2023/2023-01.md,7.8,1.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH
33,CVE-2023-0037,contact@wpscan.com,2023-03-13T17:15Z,https://wpscan.com/vulnerability/33ab1fe2-6611-4f43-91ba-52c56f02ed56,9.8,3.9,CRITICAL,NETWORK,NONE,LOW,NONE,HIGH,HIGH,HIGH
34,CVE-2023-0038,security@wordfence.com,2023-01-03T14:15Z,https://www.wordfence.com/threat-intel/vulnerabilities/id/a2a58fab-d4a3-4333-8495-e094ed85bb61,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
35,CVE-2023-0039,security@wordfence.com,2023-01-03T15:15Z,,,,,,,,,,,
36,CVE-2023-0040,cve@forums.swift.org,2023-01-18T19:15Z,https://github.com/swift-server/async-http-client/security/advisories/GHSA-v3r5-pjpm-mwgq,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,NONE,HIGH,NONE
37,CVE-2023-0041,psirt@us.ibm.com,2023-06-05T01:15Z,https://www.ibm.com/support/pages/node/7000021,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
38,CVE-2023-0042,cve@gitlab.com,2023-01-12T04:15Z,https://gitlab.com/gitlab-org/gitlab-pages/-/issues/728,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
39,CVE-2023-0043,contact@wpscan.com,2023-02-27T16:15Z,https://wpscan.com/vulnerability/e012f23a-7daf-4ef3-b116-d0e2ed5bd0a3,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
40,CVE-2023-0044,secalert@redhat.com,2023-02-23T20:15Z,https://access.redhat.com/security/cve/CVE-2023-0044,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
41,CVE-2023-0045,security@google.com,2023-04-25T23:15Z,https://git.kernel.org/tip/a664ec9158eeddd75121d39c9a0758016097fa96,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,HIGH,NONE,NONE
42,CVE-2023-0046,security@huntr.dev,2023-01-04T12:15Z,https://github.com/lirantal/daloradius/commit/2013c2d1231e99dac918247b69b198ded1f30a1c,7.2,1.2,HIGH,NETWORK,HIGH,LOW,NONE,HIGH,HIGH,HIGH
43,CVE-2023-0047,cve@mitre.org,2023-01-27T23:15Z,,,,,,,,,,,
44,CVE-2023-0048,security@huntr.dev,2023-01-04T14:15Z,https://huntr.dev/bounties/57abd666-4b9c-4f59-825d-1ec832153e79,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
45,CVE-2023-0049,security@huntr.dev,2023-01-04T16:15Z,https://github.com/vim/vim/commit/7b17eb4b063a234376c1ec909ee293e42cff290c,7.8,1.8,HIGH,LOCAL,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
